library_name,test_case_id,success,detection_time_ms,barcodes_detected,barcodes_expected,error_message,additional_metrics
ZXing_Cpp,angled_011,True,9.990699996706098,1,1,,"{'detection_time_api_ms': 9.925800026394427, 'barcode_data': [{'data': 'https://example.com/angled/30/0011', 'type': 'QRCode', 'quality': 1.0, 'position': {'x': 239, 'y': 257, 'width': 0, 'height': 0}}], 'test_metadata': {'test_id': 'angled_011', 'image_path': 'generated_dataset\\angled_barcodes\\angled_011_angle30.png', 'barcode_data': ['https://example.com/angled/30/0011'], 'barcode_types': ['QR_CODE'], 'rotation_angle': 30, 'barcode_count': 1, 'test_type': 'angled', 'difficulty': 'medium', 'focus_area': 'angled_barcode_performance'}}"
ZXing_Cpp,angled_012,False,11.872300005052239,0,1,,"{'detection_time_api_ms': 11.809399991761893, 'barcode_data': [], 'test_metadata': {'test_id': 'angled_012', 'image_path': 'generated_dataset\\angled_barcodes\\angled_012_angle45.png', 'barcode_data': ['ANGLE450012'], 'barcode_types': ['CODE128'], 'rotation_angle': 45, 'barcode_count': 1, 'test_type': 'angled', 'difficulty': 'medium', 'focus_area': 'angled_barcode_performance'}}"
ZXing_Cpp,angled_013,False,13.295499957166612,0,1,,"{'detection_time_api_ms': 13.185200048610568, 'barcode_data': [], 'test_metadata': {'test_id': 'angled_013', 'image_path': 'generated_dataset\\angled_barcodes\\angled_013_angle60.png', 'barcode_data': ['ANGLED013'], 'barcode_types': ['CODE39'], 'rotation_angle': 60, 'barcode_count': 1, 'test_type': 'angled', 'difficulty': 'medium', 'focus_area': 'angled_barcode_performance'}}"
ZXing_Cpp,angled_014,True,12.003200012259185,1,1,,"{'detection_time_api_ms': 11.943000019527972, 'barcode_data': [{'data': '2000000000145', 'type': 'EAN13', 'quality': 1.0, 'position': {'x': 324, 'y': 466, 'width': 0, 'height': 0}}], 'test_metadata': {'test_id': 'angled_014', 'image_path': 'generated_dataset\\angled_barcodes\\angled_014_angle75.png', 'barcode_data': ['200000000014'], 'barcode_types': ['EAN13'], 'rotation_angle': 75, 'barcode_count': 1, 'test_type': 'angled', 'difficulty': 'medium', 'focus_area': 'angled_barcode_performance'}}"
ZXing_Cpp,angled_015,True,10.91810001526028,1,1,,"{'detection_time_api_ms': 10.835199966095388, 'barcode_data': [{'data': 'https://example.com/angled/15/0015', 'type': 'QRCode', 'quality': 1.0, 'position': {'x': 256, 'y': 217, 'width': 0, 'height': 0}}], 'test_metadata': {'test_id': 'angled_015', 'image_path': 'generated_dataset\\angled_barcodes\\angled_015_angle15.png', 'barcode_data': ['https://example.com/angled/15/0015'], 'barcode_types': ['QR_CODE'], 'rotation_angle': 15, 'barcode_count': 1, 'test_type': 'angled', 'difficulty': 'medium', 'focus_area': 'angled_barcode_performance'}}"
ZXing_Cpp,angled_016,False,13.132599997334182,0,1,,"{'detection_time_api_ms': 13.074199960101396, 'barcode_data': [], 'test_metadata': {'test_id': 'angled_016', 'image_path': 'generated_dataset\\angled_barcodes\\angled_016_angle30.png', 'barcode_data': ['ANGLE300016'], 'barcode_types': ['CODE128'], 'rotation_angle': 30, 'barcode_count': 1, 'test_type': 'angled', 'difficulty': 'medium', 'focus_area': 'angled_barcode_performance'}}"
ZXing_Cpp,angled_017,False,14.16839996818453,0,1,,"{'detection_time_api_ms': 14.100800035521388, 'barcode_data': [], 'test_metadata': {'test_id': 'angled_017', 'image_path': 'generated_dataset\\angled_barcodes\\angled_017_angle45.png', 'barcode_data': ['ANGLED017'], 'barcode_types': ['CODE39'], 'rotation_angle': 45, 'barcode_count': 1, 'test_type': 'angled', 'difficulty': 'medium', 'focus_area': 'angled_barcode_performance'}}"
ZXing_Cpp,angled_018,False,12.619599991012365,0,1,,"{'detection_time_api_ms': 12.564500037115067, 'barcode_data': [], 'test_metadata': {'test_id': 'angled_018', 'image_path': 'generated_dataset\\angled_barcodes\\angled_018_angle60.png', 'barcode_data': ['200000000018'], 'barcode_types': ['EAN13'], 'rotation_angle': 60, 'barcode_count': 1, 'test_type': 'angled', 'difficulty': 'medium', 'focus_area': 'angled_barcode_performance'}}"
ZXing_Cpp,angled_019,True,9.659300034400076,1,1,,"{'detection_time_api_ms': 9.597000025678426, 'barcode_data': [{'data': 'https://example.com/angled/75/0019', 'type': 'QRCode', 'quality': 1.0, 'position': {'x': 256, 'y': 383, 'width': 0, 'height': 0}}], 'test_metadata': {'test_id': 'angled_019', 'image_path': 'generated_dataset\\angled_barcodes\\angled_019_angle75.png', 'barcode_data': ['https://example.com/angled/75/0019'], 'barcode_types': ['QR_CODE'], 'rotation_angle': 75, 'barcode_count': 1, 'test_type': 'angled', 'difficulty': 'medium', 'focus_area': 'angled_barcode_performance'}}"
ZXing_Cpp,angled_020,True,11.260600003879517,1,1,,"{'detection_time_api_ms': 11.19499997003004, 'barcode_data': [{'data': 'ANGLE150020', 'type': 'Code128', 'quality': 1.0, 'position': {'x': 214, 'y': 217, 'width': 0, 'height': 0}}], 'test_metadata': {'test_id': 'angled_020', 'image_path': 'generated_dataset\\angled_barcodes\\angled_020_angle15.png', 'barcode_data': ['ANGLE150020'], 'barcode_types': ['CODE128'], 'rotation_angle': 15, 'barcode_count': 1, 'test_type': 'angled', 'difficulty': 'medium', 'focus_area': 'angled_barcode_performance'}}"
ZXing_Cpp,angled_021,False,13.806900009512901,0,1,,"{'detection_time_api_ms': 13.745600008405745, 'barcode_data': [], 'test_metadata': {'test_id': 'angled_021', 'image_path': 'generated_dataset\\angled_barcodes\\angled_021_angle30.png', 'barcode_data': ['ANGLED021'], 'barcode_types': ['CODE39'], 'rotation_angle': 30, 'barcode_count': 1, 'test_type': 'angled', 'difficulty': 'medium', 'focus_area': 'angled_barcode_performance'}}"
ZXing_Cpp,angled_022,False,11.094899964518845,0,1,,"{'detection_time_api_ms': 11.035399977117777, 'barcode_data': [], 'test_metadata': {'test_id': 'angled_022', 'image_path': 'generated_dataset\\angled_barcodes\\angled_022_angle45.png', 'barcode_data': ['200000000022'], 'barcode_types': ['EAN13'], 'rotation_angle': 45, 'barcode_count': 1, 'test_type': 'angled', 'difficulty': 'medium', 'focus_area': 'angled_barcode_performance'}}"
ZXing_Cpp,angled_023,True,9.881899983156472,1,1,,"{'detection_time_api_ms': 9.826799971051514, 'barcode_data': [{'data': 'https://example.com/angled/60/0023', 'type': 'QRCode', 'quality': 1.0, 'position': {'x': 239, 'y': 343, 'width': 0, 'height': 0}}], 'test_metadata': {'test_id': 'angled_023', 'image_path': 'generated_dataset\\angled_barcodes\\angled_023_angle60.png', 'barcode_data': ['https://example.com/angled/60/0023'], 'barcode_types': ['QR_CODE'], 'rotation_angle': 60, 'barcode_count': 1, 'test_type': 'angled', 'difficulty': 'medium', 'focus_area': 'angled_barcode_performance'}}"
